strike,type,symbols,bid,ask,mid,spread_pct,min_size,volume,delta_k,variance_bid,variance_mid,variance_ask,weight_pct
36.0,Put,GGAL261016P00036000,0.03,0.72,0.375,184.0,162.0,,1.0,0.00040233686067019396,0.005029210758377424,0.009656084656084654,2.136787155436801
37.0,Put,GGAL261016P00037000,0.28,2.48,1.38,159.4202898550725,82.0,,1.0,0.0035549062576089607,0.017520609412501303,0.03148631256739365,7.44407322474918
38.0,Put,GGAL261016P00038000,0.38,0.63,0.505,49.504950495049506,1.0,,1.0,0.004573934837092731,0.006078518665083761,0.0075831024930747915,2.5826121098620085
39.0,Put,GGAL261016P00039000,0.42,1.42,0.9199999999999999,108.69565217391305,144.0,,1.0,0.00479947403024326,0.010513133590056664,0.01622679314987007,4.466770214631438
40.0,Put,GGAL261016P00040000,0.38,1.67,1.025,125.85365853658537,11.0,,1.0,0.004127976190476191,0.011134672619047617,0.018141369047619045,4.7308467621370776
41.0,Put,GGAL261016P00041000,0.32,2.32,1.3199999999999998,151.5151515151515,16.0,,1.0,0.0033086881391462,0.013648338573978073,0.023987989008809947,5.79884120174316
42.0,Put,GGAL261016P00042000,0.78,2.6,1.69,107.6923076923077,11.0,,1.0,0.007685455134434726,0.016651819457941905,0.025618183781449085,7.07494587955238
43.0,Put,GGAL261016P00043000,1.13,3.06,2.0949999999999998,92.1241050119332,10.0,,1.0,0.010622215354503075,0.019693399263437116,0.028764583172371162,8.367237845999014
44.0,Put/Call,GGAL261016C00044000 + GGAL261016P00044000,1.1800000000000002,4.115,2.6475,110.85930122757318,382.0,,1.0,0.010593762298307753,0.02376863193624557,0.03694350157418339,10.098703328166025
45.0,Call,GGAL261016C00045000,2.08,3.45,2.765,49.54792043399638,69.0,,1.0,0.01785302763080541,0.023732510288065844,0.02961199294532628,10.083356134029236
46.0,Call,GGAL261016C00046000,0.82,2.91,1.865,112.0643431635389,444.0,,1.0,0.006735529750652623,0.015319223152398954,0.023902916554145285,6.508758697135433
47.0,Call,GGAL261016C00047000,1.08,2.5,1.79,79.32960893854748,19.0,,1.0,0.008497704197115695,0.014084157882256568,0.01967061156739744,5.98401003732429
48.0,Call,GGAL261016C00048000,0.52,2.28,1.4,125.71428571428571,1.0,,1.0,0.003922784391534391,0.010561342592592591,0.01719990079365079,4.4872530264172825
49.0,Call,GGAL261016C00049000,0.88,1.82,1.35,69.62962962962962,27.0,,1.0,0.006370361555700997,0.00977271375022312,0.013175065944745244,4.152184153438542
50.0,Call,GGAL261016C00050000,0.78,1.42,1.1,58.18181818181817,18.0,,3.0,0.016268571428571427,0.022942857142857143,0.029617142857142852,9.747852060130253
55.0,Call,GGAL261016C00055000,0.28,0.38,0.33,30.303030303030297,9.0,,5.0,0.008044077134986225,0.00948051948051948,0.010916961826052734,4.028038041376137
60.0,Call,GGAL261016C00060000,0.07,0.38,0.225,137.77777777777777,203.0,,5.0,0.0016898148148148148,0.005431547619047619,0.009173280423280424,2.3077301278717455
